title,author,date,views,likes,link
The emergent genius of ant colonies,Deborah Gordon,03-Feb,1200000,37000,https://ted.com/talks/deborah_gordon_the_emergent_genius_of_ant_colonies
A flight on solar wings,Paul MacCready,03-Feb,886000,26000,https://ted.com/talks/paul_maccready_a_flight_on_solar_wings
Swim with the giant sunfish,Tierney Thys,03-Feb,1400000,43000,https://ted.com/talks/tierney_thys_swim_with_the_giant_sunfish
How brain science will change computing,Jeff Hawkins,03-Feb,1700000,52000,https://ted.com/talks/jeff_hawkins_how_brain_science_will_change_computing
"""What You've Got""",Eddi Reader,03-Feb,566000,17000,https://ted.com/talks/eddi_reader_what_you_ve_got
"""Kiteflyer's Hill""",Eddi Reader,03-Feb,594000,17000,https://ted.com/talks/eddi_reader_kiteflyer_s_hill
The electricity metaphor for the web's future,Jeff Bezos,03-Feb,2100000,65000,https://ted.com/talks/jeff_bezos_the_electricity_metaphor_for_the_web_s_future
How to truly listen,Evelyn Glennie,03-Feb,6400000,193000,https://ted.com/talks/evelyn_glennie_how_to_truly_listen
The illusion of consciousness,Dan Dennett,03-Feb,4400000,132000,https://ted.com/talks/dan_dennett_the_illusion_of_consciousness
"Art with wire, sugar, chocolate and string",Vik Muniz,03-Feb,1400000,43000,https://ted.com/talks/vik_muniz_art_with_wire_sugar_chocolate_and_string
How to get your ideas to spread,Seth Godin,03-Feb,7100000,214000,https://ted.com/talks/seth_godin_how_to_get_your_ideas_to_spread
The life code that will reshape the future,Juan Enriquez,03-Feb,852000,25000,https://ted.com/talks/juan_enriquez_the_life_code_that_will_reshape_the_future
Dreams from endangered cultures,Wade Davis,03-Feb,4600000,139000,https://ted.com/talks/wade_davis_dreams_from_endangered_cultures
Animate characters by evolving them,Torsten Reil,03-Mar,369000,11000,https://ted.com/talks/torsten_reil_animate_characters_by_evolving_them
The birth of the computer,George Dyson,03-Mar,1000000,30000,https://ted.com/talks/george_dyson_the_birth_of_the_computer
What separates us from chimpanzees?,Jane Goodall,03-Mar,2200000,66000,https://ted.com/talks/jane_goodall_what_separates_us_from_chimpanzees
Happiness and its surprises,Nancy Etcoff,04-Feb,2100000,65000,https://ted.com/talks/nancy_etcoff_happiness_and_its_surprises
Odes to vice and consequences,Felix Dennis,04-Feb,336000,10000,https://ted.com/talks/felix_dennis_odes_to_vice_and_consequences
Growing evidence of brain plasticity,Michael Merzenich,04-Feb,1500000,47000,https://ted.com/talks/michael_merzenich_growing_evidence_of_brain_plasticity
A dive into the reef's Twilight Zone,Richard Pyle,04-Feb,463000,13000,https://ted.com/talks/richard_pyle_a_dive_into_the_reef_s_twilight_zone
Hypersonic sound and other inventions,Woody Norris,04-Feb,1400000,42000,https://ted.com/talks/woody_norris_hypersonic_sound_and_other_inventions
What consumers want,Joseph Pine,04-Feb,1300000,39000,https://ted.com/talks/joseph_pine_what_consumers_want
My dream of a flying car,Paul Moller,04-Feb,492000,14000,https://ted.com/talks/paul_moller_my_dream_of_a_flying_car
The science of sync,Steven Strogatz,04-Feb,814000,24000,https://ted.com/talks/steven_strogatz_the_science_of_sync
The Long Now,Stewart Brand,04-Feb,294000,8800,https://ted.com/talks/stewart_brand_the_long_now
"Flow, the secret to happiness",Mihaly Csikszentmihalyi,04-Feb,6800000,205000,https://ted.com/talks/mihaly_csikszentmihalyi_flow_the_secret_to_happiness
Healing through diet,Dean Ornish,04-Feb,1600000,49000,https://ted.com/talks/dean_ornish_healing_through_diet
On glamour,Virginia Postrel,04-Feb,433000,12000,https://ted.com/talks/virginia_postrel_on_glamour
The new era of positive psychology,Martin Seligman,04-Feb,6600000,199000,https://ted.com/talks/martin_seligman_the_new_era_of_positive_psychology
Brain magic,Keith Barry,04-Feb,18000000,559000,https://ted.com/talks/keith_barry_brain_magic
The habits of happiness,Matthieu Ricard,04-Feb,10000000,305000,https://ted.com/talks/matthieu_ricard_the_habits_of_happiness
The ghastly tragedy of the suburbs,James Howard Kunstler,04-Feb,2200000,66000,https://ted.com/talks/james_howard_kunstler_the_ghastly_tragedy_of_the_suburbs
The genesis of Google,Sergey Brin + Larry Page,04-Feb,1900000,57000,https://ted.com/talks/sergey_brin_larry_page_the_genesis_of_google
Technology's long tail,Chris Anderson,04-Feb,1000000,32000,https://ted.com/talks/chris_anderson_technology_s_long_tail
"""La Vie en Rose""",Rachelle Garniez,04-Feb,488000,14000,https://ted.com/talks/rachelle_garniez_la_vie_en_rose
Happiness by design,Stefan Sagmeister,04-Feb,2300000,69000,https://ted.com/talks/stefan_sagmeister_happiness_by_design
The gentle genius of bonobos,Susan Savage-Rumbaugh,04-Feb,2900000,88000,https://ted.com/talks/susan_savage_rumbaugh_the_gentle_genius_of_bonobos
Software (as) art,Golan Levin,04-Feb,675000,20000,https://ted.com/talks/golan_levin_software_as_art
The shrimp with a kick!,Sheila Patek,04-Feb,1700000,53000,https://ted.com/talks/sheila_patek_the_shrimp_with_a_kick
Visual illusions that show how we (mis)think,Al Seckel,04-Feb,2600000,78000,https://ted.com/talks/al_seckel_visual_illusions_that_show_how_we_mis_think
The surprising science of happiness,Dan Gilbert,04-Feb,19000000,598000,https://ted.com/talks/dan_gilbert_the_surprising_science_of_happiness
"Choice, happiness and spaghetti sauce",Malcolm Gladwell,04-Feb,9200000,276000,https://ted.com/talks/malcolm_gladwell_choice_happiness_and_spaghetti_sauce
The freakonomics of crack dealing,Steven Levitt,04-Feb,4200000,127000,https://ted.com/talks/steven_levitt_the_freakonomics_of_crack_dealing
Happiness in body and soul,Eve Ensler,04-Feb,1300000,41000,https://ted.com/talks/eve_ensler_happiness_in_body_and_soul
Nerdcore comedy,Ze Frank,04-Feb,7300000,220000,https://ted.com/talks/ze_frank_nerdcore_comedy
"Improvising on piano, aged 14",Jennifer Lin,04-Feb,1800000,56000,https://ted.com/talks/jennifer_lin_improvising_on_piano_aged_14
The joyful tradition of mountain music,David Holt,04-Mar,627000,18000,https://ted.com/talks/david_holt_the_joyful_tradition_of_mountain_music
Moving sculpture,Arthur Ganson,04-Mar,1000000,30000,https://ted.com/talks/arthur_ganson_moving_sculpture
Stories of Haiti,Edwidge Danticat,04-Oct,56000,1600,https://ted.com/talks/edwidge_danticat_stories_of_haiti
How to tie your shoes,Terry Moore,05-Feb,7900000,238000,https://ted.com/talks/terry_moore_how_to_tie_your_shoes
The visual magic of comics,Scott McCloud,05-Feb,1200000,38000,https://ted.com/talks/scott_mccloud_the_visual_magic_of_comics
Organic algorithms in architecture,Greg Lynn,05-Feb,451000,13000,https://ted.com/talks/greg_lynn_organic_algorithms_in_architecture
Digging up dinosaurs,Paul Sereno,05-Feb,894000,26000,https://ted.com/talks/paul_sereno_digging_up_dinosaurs
The future of cars,Larry Burns,05-Feb,668000,20000,https://ted.com/talks/larry_burns_the_future_of_cars
The science of scent,Luca Turin,05-Feb,671000,20000,https://ted.com/talks/luca_turin_the_science_of_scent
The power and the danger of online crowds,James Surowiecki,05-Feb,538000,16000,https://ted.com/talks/james_surowiecki_the_power_and_the_danger_of_online_crowds
A flight through the ocean,Graham Hawkes,05-Feb,436000,13000,https://ted.com/talks/graham_hawkes_a_flight_through_the_ocean
Toys and materials from the future,Zach Kaplan + Keith Schacht,05-Feb,461000,13000,https://ted.com/talks/zach_kaplan_keith_schacht_toys_and_materials_from_the_future
Close-up card magic with a twist,Lennart Green,05-Feb,5900000,179000,https://ted.com/talks/lennart_green_close_up_card_magic_with_a_twist
Making sense of string theory,Brian Greene,05-Feb,6400000,193000,https://ted.com/talks/brian_greene_making_sense_of_string_theory
The new power of collaboration,Howard Rheingold,05-Feb,1200000,38000,https://ted.com/talks/howard_rheingold_the_new_power_of_collaboration
"A performance of ""Mathemagic""",Arthur Benjamin,05-Feb,9900000,298000,https://ted.com/talks/arthur_benjamin_a_performance_of_mathemagic
Winning the oil endgame,Amory Lovins,05-Feb,1000000,32000,https://ted.com/talks/amory_lovins_winning_the_oil_endgame
The sticky wonder of gecko feet,Robert Full,05-Feb,946000,28000,https://ted.com/talks/robert_full_the_sticky_wonder_of_gecko_feet
Let's rethink America's military strategy,Thomas Barnett,05-Feb,1300000,41000,https://ted.com/talks/thomas_barnett_let_s_rethink_america_s_military_strategy
Why would God create a tsunami?,Tom Honey,05-Feb,704000,21000,https://ted.com/talks/tom_honey_why_would_god_create_a_tsunami
Cradle to cradle design,William McDonough,05-Feb,2000000,60000,https://ted.com/talks/william_mcdonough_cradle_to_cradle_design
Casting a spell on the cello,Caroline Lavelle,05-Feb,501000,15000,https://ted.com/talks/caroline_lavelle_casting_a_spell_on_the_cello
Sampling the ocean's DNA,Craig Venter,05-Feb,659000,19000,https://ted.com/talks/craig_venter_sampling_the_ocean_s_dna
The story of life in photographs,Frans Lanting,05-Feb,2100000,65000,https://ted.com/talks/frans_lanting_the_story_of_life_in_photographs
How architecture can connect us,Thom Mayne,05-Feb,878000,26000,https://ted.com/talks/thom_mayne_how_architecture_can_connect_us
How we discovered DNA,James Watson,05-Feb,2000000,61000,https://ted.com/talks/james_watson_how_we_discovered_dna
Biomimicry's surprising lessons from nature's engineers,Janine Benyus,05-Feb,2500000,75000,https://ted.com/talks/janine_benyus_biomimicry_s_surprising_lessons_from_nature_s_engineers
"A dance of ""Symbiosis""",Pilobolus,05-Feb,4400000,132000,https://ted.com/talks/pilobolus_a_dance_of_symbiosis
Four American characters,Anna Deavere Smith,05-Feb,1300000,39000,https://ted.com/talks/anna_deavere_smith_four_american_characters
Global priorities bigger than climate change,Bjorn Lomborg,05-Feb,1700000,53000,https://ted.com/talks/bjorn_lomborg_global_priorities_bigger_than_climate_change
8 secrets of success,Richard St. John,05-Feb,15000000,479000,https://ted.com/talks/richard_st_john_8_secrets_of_success
The accelerating power of technology,Ray Kurzweil,05-Feb,2900000,89000,https://ted.com/talks/ray_kurzweil_the_accelerating_power_of_technology
How technology evolves,Kevin Kelly,05-Feb,2200000,67000,https://ted.com/talks/kevin_kelly_how_technology_evolves
My wish: Three actions for Africa,Bono,05-Feb,858000,25000,https://ted.com/talks/bono_my_wish_three_actions_for_africa
My wish: Three unusual medical inventions,Robert Fischell,05-Feb,546000,16000,https://ted.com/talks/robert_fischell_my_wish_three_unusual_medical_inventions
My wish: Manufactured landscapes and green education,Edward Burtynsky,05-Feb,1400000,42000,https://ted.com/talks/edward_burtynsky_my_wish_manufactured_landscapes_and_green_education
Why did I ski to the North Pole?,Ben Saunders,05-Feb,1000000,30000,https://ted.com/talks/ben_saunders_why_did_i_ski_to_the_north_pole
Meet the future of cancer research,Eva Vertes,05-Feb,1100000,35000,https://ted.com/talks/eva_vertes_meet_the_future_of_cancer_research
"Organic design, inspired by nature",Ross Lovegrove,05-Feb,1300000,39000,https://ted.com/talks/ross_lovegrove_organic_design_inspired_by_nature
All things are Moleeds,Charles Fleischer,05-Mar,1100000,34000,https://ted.com/talks/charles_fleischer_all_things_are_moleeds
How to live before you die,Steve Jobs,05-Jun,9900000,297000,https://ted.com/talks/steve_jobs_how_to_live_before_you_die
Why we make bad decisions,Dan Gilbert,05-Jul,5700000,172000,https://ted.com/talks/dan_gilbert_why_we_make_bad_decisions
What security means to me,Eve Ensler,05-Jul,1300000,39000,https://ted.com/talks/eve_ensler_what_security_means_to_me
Our next giant leap,Peter Diamandis,05-Jul,590000,17000,https://ted.com/talks/peter_diamandis_our_next_giant_leap
Institutions vs. collaboration,Clay Shirky,05-Jul,1300000,41000,https://ted.com/talks/clay_shirky_institutions_vs_collaboration
Surprising stats about child carseats,Steven Levitt,05-Jul,1000000,32000,https://ted.com/talks/steven_levitt_surprising_stats_about_child_carseats
The new open-source economics,Yochai Benkler,05-Jul,929000,27000,https://ted.com/talks/yochai_benkler_the_new_open_source_economics
An unusual glimpse at celebrity,Alison Jackson,05-Jul,746000,22000,https://ted.com/talks/alison_jackson_an_unusual_glimpse_at_celebrity
What our language habits reveal,Steven Pinker,05-Jul,2600000,79000,https://ted.com/talks/steven_pinker_what_our_language_habits_reveal
The route to a sustainable future,Alex Steffen,05-Jul,1800000,54000,https://ted.com/talks/alex_steffen_the_route_to_a_sustainable_future
A philosophical quest for our biggest problems,Nick Bostrom,05-Jul,1000000,30000,https://ted.com/talks/nick_bostrom_a_philosophical_quest_for_our_biggest_problems
Design is in the details,Paul Bennett,05-Jul,994000,29000,https://ted.com/talks/paul_bennett_design_is_in_the_details
In praise of slowness,Carl Honoré,05-Jul,3200000,98000,https://ted.com/talks/carl_honore_in_praise_of_slowness
The era of open innovation,Charles Leadbeater,05-Jul,1800000,55000,https://ted.com/talks/charles_leadbeater_the_era_of_open_innovation
Is this our final century?,Martin Rees,05-Jul,3000000,91000,https://ted.com/talks/martin_rees_is_this_our_final_century
The hidden world of shadow cities,Robert Neuwirth,05-Jul,914000,27000,https://ted.com/talks/robert_neuwirth_the_hidden_world_of_shadow_cities
How juries are fooled by statistics,Peter Donnelly,05-Jul,1300000,40000,https://ted.com/talks/peter_donnelly_how_juries_are_fooled_by_statistics
Why we should invest in a free press,Sasa Vucinic,05-Jul,686000,20000,https://ted.com/talks/sasa_vucinic_why_we_should_invest_in_a_free_press
How to rebuild a broken state,Ashraf Ghani,05-Jul,1000000,32000,https://ted.com/talks/ashraf_ghani_how_to_rebuild_a_broken_state
How mobile phones can fight poverty,Iqbal Quadir,05-Jul,626000,18000,https://ted.com/talks/iqbal_quadir_how_mobile_phones_can_fight_poverty
Invest in Africa's own solutions,Jacqueline Novogratz,05-Jul,1100000,33000,https://ted.com/talks/jacqueline_novogratz_invest_in_africa_s_own_solutions
A roadmap to end aging,Aubrey de Grey,05-Jul,4600000,138000,https://ted.com/talks/aubrey_de_grey_a_roadmap_to_end_aging
The paradox of choice,Barry Schwartz,05-Jul,16000000,501000,https://ted.com/talks/barry_schwartz_the_paradox_of_choice
Chemical scum that dream of distant quasars,David Deutsch,05-Jul,2600000,80000,https://ted.com/talks/david_deutsch_chemical_scum_that_dream_of_distant_quasars
Why the universe seems so strange,Richard Dawkins,05-Jul,4099999,125000,https://ted.com/talks/richard_dawkins_why_the_universe_seems_so_strange
The birth of Wikipedia,Jimmy Wales,05-Jul,1400000,43000,https://ted.com/talks/jimmy_wales_the_birth_of_wikipedia
What's the right thing to do?,Michael Sandel,05-Sep,491000,14000,https://ted.com/talks/michael_sandel_what_s_the_right_thing_to_do
What teachers make,Taylor Mali,05-Nov,791000,23000,https://ted.com/talks/taylor_mali_what_teachers_make
Hypnotic South Asian improv music,Vishal Vaid,06-Feb,493000,14000,https://ted.com/talks/vishal_vaid_hypnotic_south_asian_improv_music
Solving medical mysteries,Joe DeRisi,06-Feb,509000,15000,https://ted.com/talks/joe_derisi_solving_medical_mysteries
Tools for a better world,Jamais Cascio,06-Feb,249000,7400,https://ted.com/talks/jamais_cascio_tools_for_a_better_world
Ways of seeing,Rob Forbes,06-Feb,438000,13000,https://ted.com/talks/rob_forbes_ways_of_seeing
There might just be life on Mars,Penelope Boston,06-Feb,718000,21000,https://ted.com/talks/penelope_boston_there_might_just_be_life_on_mars
"What I'm worried about, what I'm excited about",Bill Joy,06-Feb,585000,17000,https://ted.com/talks/bill_joy_what_i_m_worried_about_what_i_m_excited_about
Tidying up art,Ursus Wehrli,06-Feb,1500000,47000,https://ted.com/talks/ursus_wehrli_tidying_up_art
Are games better than life?,David Perry,06-Feb,1300000,41000,https://ted.com/talks/david_perry_are_games_better_than_life
"A talking, squawking parrot",Einstein the Parrot,06-Feb,3100000,93000,https://ted.com/talks/einstein_the_parrot_a_talking_squawking_parrot
The call to learn,Clifford Stoll,06-Feb,3300000,99000,https://ted.com/talks/clifford_stoll_the_call_to_learn
The potential of regenerative medicine,Alan Russell,06-Feb,1800000,55000,https://ted.com/talks/alan_russell_the_potential_of_regenerative_medicine
"A string quartet plays ""Blue Room""",Ethel,06-Feb,436000,13000,https://ted.com/talks/ethel_a_string_quartet_plays_blue_room
What squatter cities can teach us,Stewart Brand,06-Feb,1100000,35000,https://ted.com/talks/stewart_brand_what_squatter_cities_can_teach_us
A comic sendup of TED2006,Tom Rielly,06-Feb,701000,21000,https://ted.com/talks/tom_rielly_a_comic_sendup_of_ted2006
A mockingbird remix of TED2006,Rives,06-Feb,835000,25000,https://ted.com/talks/rives_a_mockingbird_remix_of_ted2006
"Global warming's theme song, ""Manhattan in January""",Jill Sobule,06-Feb,731000,21000,https://ted.com/talks/jill_sobule_global_warming_s_theme_song_manhattan_in_january
Unleash your creativity in a Fab Lab,Neil Gershenfeld,06-Feb,905000,27000,https://ted.com/talks/neil_gershenfeld_unleash_your_creativity_in_a_fab_lab
Everyday inventions,Saul Griffith,06-Feb,599000,17000,https://ted.com/talks/saul_griffith_everyday_inventions
Progress is not a zero-sum game,Robert Wright,06-Feb,1900000,59000,https://ted.com/talks/robert_wright_progress_is_not_a_zero_sum_game
Photos of endangered cultures,Phil Borges,06-Feb,1000000,32000,https://ted.com/talks/phil_borges_photos_of_endangered_cultures
The killer American diet that's sweeping the planet,Dean Ornish,06-Feb,2800000,84000,https://ted.com/talks/dean_ornish_the_killer_american_diet_that_s_sweeping_the_planet
Fight injustice with raw video,Peter Gabriel,06-Feb,1000000,30000,https://ted.com/talks/peter_gabriel_fight_injustice_with_raw_video
Why people believe weird things,Michael Shermer,06-Feb,7800000,236000,https://ted.com/talks/michael_shermer_why_people_believe_weird_things
The real future of space exploration,Burt Rutan,06-Feb,2500000,76000,https://ted.com/talks/burt_rutan_the_real_future_of_space_exploration
"Why we love, why we cheat",Helen Fisher,06-Feb,12000000,361000,https://ted.com/talks/helen_fisher_why_we_love_why_we_cheat
Meet the founder of the blog revolution,Mena Trott,06-Feb,586000,17000,https://ted.com/talks/mena_trott_meet_the_founder_of_the_blog_revolution
The birth of the open-source learning revolution,Richard Baraniuk,06-Feb,1100000,34000,https://ted.com/talks/richard_baraniuk_the_birth_of_the_open_source_learning_revolution
Simple designs to save a life,Amy Smith,06-Feb,1800000,54000,https://ted.com/talks/amy_smith_simple_designs_to_save_a_life
An 11-year-old's magical violin,Sirena Huang,06-Feb,3300000,100000,https://ted.com/talks/sirena_huang_an_11_year_old_s_magical_violin
The radical promise of the multi-touch interface,Jeff Han,06-Feb,4800000,145000,https://ted.com/talks/jeff_han_the_radical_promise_of_the_multi_touch_interface
One Laptop per Child,Nicholas Negroponte,06-Feb,494000,14000,https://ted.com/talks/nicholas_negroponte_one_laptop_per_child
My wish: A call for open-source architecture,Cameron Sinclair,06-Feb,1300000,41000,https://ted.com/talks/cameron_sinclair_my_wish_a_call_for_open_source_architecture
My wish: A global day of film,Jehane Noujaim,06-Feb,486000,14000,https://ted.com/talks/jehane_noujaim_my_wish_a_global_day_of_film
My wish: Help me stop pandemics,Larry Brilliant,06-Feb,1400000,42000,https://ted.com/talks/larry_brilliant_my_wish_help_me_stop_pandemics
Let's teach religion — all religion — in schools,Dan Dennett,06-Feb,4099999,124000,https://ted.com/talks/dan_dennett_let_s_teach_religion_all_religion_in_schools
A life of purpose,Rick Warren,06-Feb,4200000,127000,https://ted.com/talks/rick_warren_a_life_of_purpose
Letting go of God,Julia Sweeney,06-Feb,4800000,144000,https://ted.com/talks/julia_sweeney_letting_go_of_god
Behind the design of Seattle's library,Joshua Prince-Ramus,06-Feb,1200000,37000,https://ted.com/talks/joshua_prince_ramus_behind_the_design_of_seattle_s_library
The best stats you've ever seen,Hans Rosling,06-Feb,15000000,458000,https://ted.com/talks/hans_rosling_the_best_stats_you_ve_ever_seen
Do schools kill creativity?,Sir Ken Robinson,06-Feb,72000000,2100000,https://ted.com/talks/sir_ken_robinson_do_schools_kill_creativity
Greening the ghetto,Majora Carter,06-Feb,2900000,88000,https://ted.com/talks/majora_carter_greening_the_ghetto
Simplicity sells,David Pogue,06-Feb,2000000,60000,https://ted.com/talks/david_pogue_simplicity_sells
Averting the climate crisis,Al Gore,06-Feb,3600000,109000,https://ted.com/talks/al_gore_averting_the_climate_crisis
"""Black Men Ski""",Stew,06-Mar,715000,21000,https://ted.com/talks/stew_black_men_ski
This is broken,Seth Godin,06-Sep,1000000,32000,https://ted.com/talks/seth_godin_this_is_broken
